UserName,CardNumber,Expiration
kenneth41,180028039597763,01/33
kenneth41,6011620844081231,09/29
brendawilliams,348583991342896,12/26
cody52,4094377510135,03/33
cody52,4444878507351083,12/32
teresaevans,4935433839167,09/25
grantmichelle,30048237132850,02/26
grantmichelle,4108987894664474,08/29
mullinscory,4167214881740952625,06/32
mullinscory,4753623986486,08/31
ymartinez,3518886714367076,03/32
ywilliams,376928822639199,11/29
ashleepowers,4269492227016847957,07/26
james67,180009501198363,03/26
zoe99,4801647332888,07/32
angela59,213199377248748,01/30
phillipchen,6011745102360355,09/33
phillipchen,180076699995769,06/26
umiranda,6011509865589349,07/32
tsanchez,30217872742196,03/33
lisaperez,213113405038369,06/26
justinward,30189417905101,01/31
mistyrodriguez,6533128205131438,10/29
kyleortega,2242260110185679,01/29
olivia37,6011006082060717,10/31
millereric,3538469883060438,09/26
richardsrandall,180088202935422,03/30
joel93,4594248006295223,03/26
joel93,4226538281537943,03/33
munozjeffrey,4839417582250887,12/32
xsmith,30449317024928,12/31
jamesthornton,6560462480870287,09/28
jamesthornton,4810806129418687274,07/30
brendafields,3511839732718751,06/27
paulbradshaw,2283114253745320,05/32
dennisroberson,345941353557134,09/30
dennisroberson,4383978362014613184,03/28
vargaskarla,213133157625288,04/28
cfry,3587442998757446,03/31
gsmith,4797205147150696,04/25
reevesgregory,3507526424433577,02/26
reevesgregory,2700530429271211,09/28
sarah84,676333109418,01/32
wwarner,341844527437791,03/25
reyeslori,213124980035654,05/28
rmcdonald,346481203851493,10/30
megan07,343762598219351,11/32
gmendoza,3550036216450371,06/33
kenneth39,3525118185107356,12/26
kenneth39,36862890701239,03/32
dennisallen,3522720118079918,11/31
jtaylor,4840974924389966407,04/32
deanna02,4031239111249,10/25
